2024-07-19 06:47:18.479  INFO 2334 --- [main] com.mt.springmongo.DemoApp               : Starting DemoApp v1.0 on PopesPC with PID 2334 (/mnt/e/DevOps_FEWA/DevOpsRepo/FEWA_Repos/spring-boot-mongo/target/spring-boot-mongo-1.0.jar started by pope in /mnt/e/DevOps_FEWA/DevOpsRepo/FEWA_Repos/spring-boot-mongo)
2024-07-19 06:47:18.493  INFO 2334 --- [main] com.mt.springmongo.DemoApp               : No active profile set, falling back to default profiles: default
2024-07-19 06:47:21.156  INFO 2334 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2024-07-19 06:47:21.375  INFO 2334 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 196ms. Found 1 repository interfaces.
2024-07-19 06:47:23.036  INFO 2334 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2024-07-19 06:47:23.136  INFO 2334 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-07-19 06:47:23.138  INFO 2334 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.19]
2024-07-19 06:47:23.416  INFO 2334 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-07-19 06:47:23.417  INFO 2334 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4627 ms
2024-07-19 06:47:24.210  INFO 2334 --- [main] org.mongodb.driver.cluster               : Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2024-07-19 06:47:24.416  INFO 2334 --- [cluster-ClusterId{value='6699fdec253b60091eb994c9', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Exception in monitor thread while connecting to server localhost:27017

com.mongodb.MongoSocketOpenException: Exception opening socket
	at com.mongodb.internal.connection.SocketStream.open(SocketStream.java:67) ~[mongodb-driver-core-3.8.2.jar!/:na]
	at com.mongodb.internal.connection.InternalStreamConnection.open(InternalStreamConnection.java:126) ~[mongodb-driver-core-3.8.2.jar!/:na]
	at com.mongodb.internal.connection.DefaultServerMonitor$ServerMonitorRunnable.run(DefaultServerMonitor.java:117) ~[mongodb-driver-core-3.8.2.jar!/:na]
	at java.base/java.lang.Thread.run(Thread.java:829) ~[na:na]
Caused by: java.net.ConnectException: Connection refused (Connection refused)
	at java.base/java.net.PlainSocketImpl.socketConnect(Native Method) ~[na:na]
	at java.base/java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:412) ~[na:na]
	at java.base/java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:255) ~[na:na]
	at java.base/java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:237) ~[na:na]
	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392) ~[na:na]
	at java.base/java.net.Socket.connect(Socket.java:609) ~[na:na]
	at com.mongodb.internal.connection.SocketStreamHelper.initialize(SocketStreamHelper.java:64) ~[mongodb-driver-core-3.8.2.jar!/:na]
	at com.mongodb.internal.connection.SocketStream.open(SocketStream.java:62) ~[mongodb-driver-core-3.8.2.jar!/:na]
	... 3 common frames omitted

2024-07-19 06:47:26.429  INFO 2334 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2024-07-19 06:47:26.437  INFO 2334 --- [main] com.mt.springmongo.DemoApp               : Started DemoApp in 9.982 seconds (JVM running for 11.14)
2024-07-19 06:49:56.654  INFO 2334 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-19 06:49:56.655  INFO 2334 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-07-19 06:49:56.684  INFO 2334 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 28 ms
2024-07-19 06:49:58.906  INFO 2334 --- [http-nio-8080-exec-6] org.mongodb.driver.cluster               : Cluster description not yet available. Waiting for 30000 ms before timing out
2024-07-19 06:50:01.613  WARN 2334 --- [http-nio-8080-exec-7] o.s.web.servlet.PageNotFound             : No mapping for GET /favicon.ico
2024-07-19 06:50:28.949 ERROR 2334 --- [http-nio-8080-exec-6] o.a.c.c.C.[.[.[/].[dispatcherServlet]    : Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.dao.DataAccessResourceFailureException: Timed out after 30000 ms while waiting to connect. Client view of cluster state is {type=UNKNOWN, servers=[{address=localhost:27017, type=UNKNOWN, state=CONNECTING, exception={com.mongodb.MongoSocketOpenException: Exception opening socket}, caused by {java.net.ConnectException: Connection refused (Connection refused)}}]; nested exception is com.mongodb.MongoTimeoutException: Timed out after 30000 ms while waiting to connect. Client view of cluster state is {type=UNKNOWN, servers=[{address=localhost:27017, type=UNKNOWN, state=CONNECTING, exception={com.mongodb.MongoSocketOpenException: Exception opening socket}, caused by {java.net.ConnectException: Connection refused (Connection refused)}}]] with root cause

